original paper,paper title ,excluded,selected
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,AAAI Code of Professional Ethics and Conduct,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,IEEE Code of Ethics,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,ACM Code of Ethics,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,AI and Teaching at Duke,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,AI Guidance,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Teaching & Learning with ChatGPT: Opportunity or Quagmire? Part III,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Programming Is Hard- Or at Least It Used to Be: Educational Opportunities And Challenges of AI Code Generation,0,1
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Taking Flight with Copilot: Early Insights and Opportunities of AI-Powered Pair-Programming Tools,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,"Generative AI Assistants in Software Development Education: A vision for integrating Generative AI into Educational Practice, Not Instinctively Defending Against it",0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,A Comprehensive AI Policy Education Framework,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Github Copilot AI Pair Pro grammer: Asset or Liability?,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Generative AI with LLMs,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Prompt Problems: A New Programming Exercise for the Generative AI Era,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Robosourcing Educational Resources– Leveraging Large Language Models for Learnersourcing,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,AI-Driven Development Is Here: Should You Worry?,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,My AI Wants to Know If This Will Be on the Exam: Testing OpenAI’s Codex on CS2 Programming Exercises,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,ChatGPT: A New Study Tool Shaping the Future for High School Students,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Net Impact of Large Language Models Trained on Code,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,ChatGPT and Software Testing Education: Promises & Perils,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Ethical AI is not about AI,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,"ChatGPT for Good? On Opportunities and Challenges of Large Language 
 Models for Education",0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Studying the Effect of AI Code Generators on Supporting Novice Learners in Introductory Programming,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,AI-Generated Code Not Considered Harmful,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Comparing Code Explanations Created by Students and Large Language Models,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Using Large Language Models to Enhance Program ming Error Messages,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Competition-level Code Generation with AlphaCode,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Intelligence Unleashed: An Argument for AI in Education,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,The Implications of Large Language Models for CS Teachers and Students,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Experiences from Using Code Explanations Generated by Large Language Models in a Web Soft ware Development E-Book,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Automatically Generating CS Learning Materials with Large Language Models,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,The Ethics of Algorithms: Mapping the Debate,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Here are the Schools and Colleges That Have Banned the Use of ChatGPT over Plagiarism and Misinformation Fears,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Authorship and AI tools,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,"Gen erative AI for Programming Education: Benchmarking ChatGPT, GPT-4, and Human Tutors",0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Learn AI-Assisted Python Programming With GitHub Copilot and ChatGPT,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,TransformedbyTransformers: Navigating the AI Coding Revolution for Computing Education: An ITiCSE Working Group Conducted by Humans,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Github Copilot in the Classroom: Learning to Code with AI Assistance,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Engineering Education in the Era of ChatGPT: Promise and Pitfalls of Generative AI for Education,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Exploring ChatGPT’s Impact on Post-secondary Education: A Qualitative Study,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,ProgrammingPedagogy andAssessment in the Era of AI/ML: A Position Paper,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,"University Students as Early Adopters of ChatGPT: 
 Innovation Diffusion Study",0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Evaluating the Performance of Code Generation Models for Solving Parsons Problems With Small Prompt Variations,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,AI Authorship?,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Automatic Gener ation of Programming Exercises and Code Explanations Using Large Language Models,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,ChatGPT for Education and Research: A Review of Benefits and Risks,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Expectation vs. Experience: Evaluating the Usability of Code Generation Tools Powered by Large Language Models,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,"Exploring the Role of AI Assistants in Computer Science Education: Methods, Implications, and Instructor Perspectives",0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Wordcraft: Story Writing With Large Language Models,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Generative AI in Computing Education: Perspectives of Students and Instructors,0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Introducing ChatGPT,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Do ChatGPT and Other AI Chatbots Pose a Cybersecurity Risk? An Exploratory Study: Social Sciences &,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Number of ChatGPT Users,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,How to Build an AI-Powered Chatbot?,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"AHistoryofGenerative AI: From GANtoGPT-4.Accessed:Jun.27,2023",1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"D.C.Weiss,‘‘Latest version of ChatGPT aces bar examwithscore nearing 90th percentile,’",1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,From ChatGPT to HackGPT: Meeting the Cybersecurity Threat of Generative AI,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Using ChatGPT to Improve Your Cybersecurity Posture,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"ChatGPT Confirms Data Breach, Raising Security Concerns",1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,What is ChatGPT? ChatGPT Security Risks,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"‘Weaponized AI for cyber attacks,’",0,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"How to Jailbreak ChatGPT, List of Prompts",1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Here’s How Anyone Can Jailbreak ChatGPT With These Top 4 Methods—AMBCrypto,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,How to Jailbreak ChatGPT: Get it to Really do What You Want,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,How to Enable ChatGPT Developer Mode: 5 Steps (With Pictures,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,How to Enable ChatGPT Developer Mode: A Quick Guide,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"ChatGPT Tricked With Reverse Psychology Into Giving Up Hacking Site Names, Despite Being Programmed Not To",1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,ChatGPT Has an ‘Escape’ Plan and Wants to Become Human,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Prompt Injection: An AI-Targeted Attack,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Understanding the Risks of Prompt Injection Attacks on ChatGPT and Other Language Models,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,AI-Powered Bing Chat Spills its Secrets Via Prompt Injection Attack,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,4 ChatGPT Cybersecurity Benefits for the Enterprise,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,ChatGPT and PowerShell—Some Practical Examples,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,IEEE Global Initiative Aims to Advance Ethical Design of AI andAutonomousSystems,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,ChatGPT for Link Building: A Primer,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Playbook of the Week: Using ChatGPT in Cortex XSOAR,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"Ethical Implications of ChatGPT: The Good, the Bad, the Ugly",1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"ChatGPT Confirms Data Breach, Rais ing Security Concerns",1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,ChatGPT Has a Big Privacy Problem,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,Samsung Workers Made a Major Error by Using ChatGPT,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,ChatGPT Hallucinations Open Developers to Supply Chain Malware Attacks,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,OpenAI’s ChatGPT vs. Google’s Bard AI: A Comparative Analysis,1,0
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,ChatGPT-Plugins,1,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,AI Chatbots in programming education: Guiding success or encouraging plagiarism,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,ChatGPT: The Cognitive Effects on Learning and Memory,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,ChatGPT in the higher education: A systematic literature review and research challenges,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Recommendations to Create Programming Exercises to Overcome ChatGPT,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,The Manifesto for Teaching and Learning in a Time of Generative AI: A Critical Collective Stance to Better Navigate the Future,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,ChatGPT in a Programming Course: Benefits and Limitations,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Programming with ChatGPT: How far can we go?,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,"It’s not like Jarvis, but it’s pretty close!” - Examining ChatGPT’s Usage among Undergraduate Students in Computer Science",0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Plagiarism in the Age of Generative AI: Cheat ing Method Change and Learning Loss in an Intro to CS Course,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,A Systematic Review of the Limitations and Asso ciated Opportunities of ChatGPT,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,"ChatGPT in Medicine: An Overview of its Applications, Advantages, Limitations, Future Prospects, and Ethical Considerations",0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Exploring ChatGPT’s code refactoring capabilities: An empirical study,0,1
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Enhancing Computer Programming Education using ChatGPT - A Mini Review,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,ChatGPT and Python Programming homework,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Investigating Code Generation Performance of ChatGPT with Crowdsourcing Social Data,0,1
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Exploring Student Preference Between AI-Powered ChatGPT and Human-Curated Stack Overflow in Resolving Programming Problems and Queries,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,"I’m Sorry Dave, I’m Afraid I Can’t Fix Your Code: On ChatGPT, CyberSecurity, and Secure Coding",0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,AI Chatbots in programming education: Students’ use in a scientific computing course and consequences for learn ing,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Artificial Intelligence supporting independent student learn ing: An evaluative case study of ChatGPT and learning to code,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Potentials of ChatGPT in Computer Programming: Insights from Programming Instructors,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Teaching CS-101 at the Dawn of ChatGPT,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,ChatGPT in the Classroom: An Analysis of Its Strengths and Weaknesses for Solving Undergraduate Computer Science Questions,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,The impact of large language models on programming education and student learning outcomes,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Study ing the effect of AI Code Generators on Supporting Novice Learners in Introductory Programming,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Computer science education in ChatGPT Era: Experiences from an experiment in a programming course for novice programmers,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Unlocking ChatGPT’s potential and challenges in inten sive care nursing education and practice: A systematic review with narrative synthesis,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,KOGI: A Seamless Integration of ChatGPT into Jupyter Environments for Programming Education,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,"From ""Ban It Till We Understand It"" to ""Resistance is Futile"": How University Programming Instructors Plan to Adapt as More Students Use AI Code Generation and Explanation Tools such as ChatGPT and GitHub Copilot",0,1
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Teachers’ and students’ perceptions of AI-generated concept explanations: Implications for integrating generative Ai in computer science education,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Using large language models to enhance programming error messages,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Discriminating Human-authored from ChatGPT Generated Code Via Discernable Feature Analysis,0,1
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Leveraging the power of AI in undergraduate computer science education: Opportunities and challenges,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,An exploratory study on the impact of AI tools on the student experience in programming courses: An intersectional analysis approach,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Guidelines for the evolving role of generative AI in introductory programming based on emerging practice,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,"ChatGPT, can you generate solutions for my coding exercises? An evaluation on its effectiveness in an undergraduate java programming Course",0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Incorporating generative AI into software devel opment education,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,ChatGPT in the classroom. Exploring its potential and limitations in a functional programming course,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,ChatGPT in computer science curriculum assessment: An Analysis of its successes and shortcomings,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,What an AI-embracing software engineering curriculum should look like: An empirical study,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,IS Professors’ Perspectives on AI-Assisted Pro gramming,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,ChatGPT: Challenges and benefits in software programming for higher education,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,"Using ChatGPT standard prompt engineering techniques in les son preparation: Role, instructions and seed-word prompts",0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Investigating the use of AI-generated exercises for beginner and intermediate programming courses: A ChatGPT case study,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Exploring the research gap: Generative AI and learning of python programming among post-primary students,1,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,"Would ChatGPT-facilitated programming mode impact college students’ programming behaviors, performances, and perceptions? An empirical study",0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,The psychological effects of AI-assisted programming on stu dents and professionals,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Investigating the role of ChatGPT in supporting text-based programming education for students and teachers,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,A closer look at different difficulty levels code generation abilities of ChatGPT,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Enhancing python learning with PyTutor: Efficacy of a ChatGPT-based intelligent tutoring system in programming education,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Augmented intelligence in programming learning: Examining student views on the use of ChatGPT for programming learning,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,Evaluating ChatGPT: Generative AI in UX design and web development pedagogy,0,0
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,ChatGPT for teaching and learning: An experience from data science education,0,0
Evaluating Social Bias in Code Generation Models,StarCoder: may the source be with you!,0,1
Evaluating Social Bias in Code Generation Models,Uncovering and quantifying social biases in code generation,0,1
Toward Artificial Intelligence-Human Paired Programming: A Review of the Educational Applications and Research on Artificial Intelligence Code-Generation Tools,ChatGPT and Large Language Models (LLMs) in healthcare: Opportunities and risks,1,0
Toward Artificial Intelligence-Human Paired Programming: A Review of the Educational Applications and Research on Artificial Intelligence Code-Generation Tools,ChatGPT-3.5 as writing assistance in students’ essays,0,0
Toward Artificial Intelligence-Human Paired Programming: A Review of the Educational Applications and Research on Artificial Intelligence Code-Generation Tools,Programming is hard-or at least it used to be: Educational oppor tunities and challenges of ai code generation,1,0
Toward Artificial Intelligence-Human Paired Programming: A Review of the Educational Applications and Research on Artificial Intelligence Code-Generation Tools,Taking Flight with Copilot: Early insights and opportunities of AI-powered pair programming tools,0,0
Toward Artificial Intelligence-Human Paired Programming: A Review of the Educational Applications and Research on Artificial Intelligence Code-Generation Tools,"Generative AI assistants in software development education: A vision for integrating generative AI into educational practice, not instinctively defending against it",1,0
Toward Artificial Intelligence-Human Paired Programming: A Review of the Educational Applications and Research on Artificial Intelligence Code-Generation Tools,Chatting and cheating: Ensuring academic integrity in the era of ChatGPT,0,0
Toward Artificial Intelligence-Human Paired Programming: A Review of the Educational Applications and Research on Artificial Intelligence Code-Generation Tools,Github copilot ai pair programmer: Asset or liability?,0,0
Toward Artificial Intelligence-Human Paired Programming: A Review of the Educational Applications and Research on Artificial Intelligence Code-Generation Tools,Robosourcing educational resources leveraging Large Language Models for learnersourcing,1,0
Toward Artificial Intelligence-Human Paired Programming: A Review of the Educational Applications and Research on Artificial Intelligence Code-Generation Tools,My AI wants to know if this will Be on the exam,0,0
Toward Artificial Intelligence-Human Paired Programming: A Review of the Educational Applications and Research on Artificial Intelligence Code-Generation Tools,Educational issues triggered by ChatGPT: Possible impacts and counter measures,1,0
Toward Artificial Intelligence-Human Paired Programming: A Review of the Educational Applications and Research on Artificial Intelligence Code-Generation Tools,From “Ban it till we understand it” to “Resistance is futile”: How university programming instructors plan to adapt as more students use AI code generation and explanation tools such as ChatGPTand GitHub copilot,1,0
Toward Artificial Intelligence-Human Paired Programming: A Review of the Educational Applications and Research on Artificial Intelligence Code-Generation Tools,On the robustness of code generation techniques: An empirical study on github copilot,0,0
Toward Artificial Intelligence-Human Paired Programming: A Review of the Educational Applications and Research on Artificial Intelligence Code-Generation Tools,"How generative ai models such as chatgpt can be (mis) used in spc practice, education, and research? An exploratory study",0,0
Toward Artificial Intelligence-Human Paired Programming: A Review of the Educational Applications and Research on Artificial Intelligence Code-Generation Tools,"ChatGPT for education and research: Opportunities, threats, and strategies",0,0
Toward Artificial Intelligence-Human Paired Programming: A Review of the Educational Applications and Research on Artificial Intelligence Code-Generation Tools,ChatGPT: Bullshit spewer or the end of traditional assessments in higher education?,0,0
Toward Artificial Intelligence-Human Paired Programming: A Review of the Educational Applications and Research on Artificial Intelligence Code-Generation Tools,Automatic generation of programming exercises and code explanations using large language models,0,0
Toward Artificial Intelligence-Human Paired Programming: A Review of the Educational Applications and Research on Artificial Intelligence Code-Generation Tools,An empirical evaluation of using Large Language Models for automated unit test generation,0,0
Toward Artificial Intelligence-Human Paired Programming: A Review of the Educational Applications and Research on Artificial Intelligence Code-Generation Tools,Expectation vs. experience: Evaluating the usability of code generation tools powered by large language models,0,0
Toward Artificial Intelligence-Human Paired Programming: A Review of the Educational Applications and Research on Artificial Intelligence Code-Generation Tools,A new era of plagiarism the danger of cheating using AI,0,0
Do Generative AI Tools Ensure Green Code? An Investigative Study,An important next step on our AI journey,1,0
Do Generative AI Tools Ensure Green Code? An Investigative Study,ClassEval: A Manually Crafted Benchmark for Evaluating LLMs on Class-level Code Generation,0,0
Do Generative AI Tools Ensure Green Code? An Investigative Study,Set Up Now for AI to Augment Soft ware Development,0,0
Do Generative AI Tools Ensure Green Code? An Investigative Study,The economic impact of the AI-powered developer lifecy cle and lessons from GitHub Copilot,1,0
Do Generative AI Tools Ensure Green Code? An Investigative Study,Survey reveals AI’s impact on the developer experience,1,0
Do Generative AI Tools Ensure Green Code? An Investigative Study,Software Industry Awareness on Green and Sustainable Software Engineering: A State-of-the Practice Survey,0,0
Do Generative AI Tools Ensure Green Code? An Investigative Study,A Large-Scale Survey on the Usability of AI Programming Assistants: Successes and Challenges,0,0
Do Generative AI Tools Ensure Green Code? An Investigative Study,ChatGPT,1,0
Do Generative AI Tools Ensure Green Code? An Investigative Study,ChatGPT sets record for fastest-growing user base,1,0
Do Generative AI Tools Ensure Green Code? An Investigative Study,Expectation vs Experience- Evaluating the Usability of Code Generation Tools Powered by Large Language Models,0,0
