paper title,exclude,selected,domain,dimension,phrases indicating the dimension
Navigating the Coffee Business Landscape: Challenges and Adaptation Strategies in a Changing World,0,1,economy; coffee industry,"social acceptability (preference) (consumer awareness); 
environment (biodiversity, energy consumption); 
economy (fair trade); 
labor rights (fair wage, working conditions, legal employment); 
transparency (supply chain) ","""consumer preferences"", ""Modern coffee enthusiasts, ever more mindful of..."";
""Climate change"", ""eco-friendly"", ""promote biodiversity conservation"", ""energy standards"";
""fair trade"";
""exploit the labor of vulnerable communities"", ""fair wages, safe working conditions, and community support"";
""transparency"""
Beyond the property debate: animal welfare as a public good,0,1,animal ethic; law; economy,"animal welfare;
environment
social acceptability","""animal walfare"";
""environmental protection"",
""’The report indicated that consumers were willing to pay up to 20–30% more for ethically sourced foods"""
Developing an Artisanal Buying Centre System Meeting Ethical Sourcing Criteria,0,1,economy,"transparency in supply chain;
labor rights (ilegal employment)","""provenance traceability"";
""child labour, or other human rights abuses"""
Korea national stem cell bank,0,1,medicine,"health / safety (medicine);
data availability (access);
informed consents;","""The application of hESCs needs to be ethical and safe."";
""data are also available through"";
""informed consents"";"
New NIH program for artificial intelligence in research,1,0,,,
Oasis Brew Coffee House's Economic Analysis to Local Wisdom,1,0,,,
The Halal Positive List: Streamlining the Path to Certification,0,1,"religion; Ingredient 
evaluation; Halal 
certification","social acceptability (religion);
safety (food);
transparency (supply chain)
contamination","""Halal certification, a crucial religious guideline for Muslims"";
""ingredient safety"";
""the need for extensive traceability""
""ensure that all raw materials are sourced from halal-certified suppliers and inspect production lines to ensure no cross-contamination between halal and non-halal products."""
Conditioned canine cadavers for near-natural interprofessional veterinary and human surgery training,0,0,Medical and Education; animal,,
Humane innovations in veterinary anatomy education in India,0,1,Medical and Education; animal,"animal welfare;
informed consent;","""Animal welfare encompasses both the physical and psychological states of the animal"";
""with the client signing the euthanasia consent form"", ""Willed-Body Programme ... donated cadavers "";"
The LA River project: Resting and raging through histories of containment,1,0,,,
Sustainable and Technological Innovations in Industrial Operations,1,0,,,
Yankari: A Monolingual Yoruba Dataset,1,0,,,
Vegan artist: exploring the ethical use of animals in contemporary art through a reconsideration of the vegan philosophy,1,0,,,
Manufacturing safer medics,1,0,,,
"Enhancing Gemstone Classification Accuracy: A Deep Learning Approach Using CNN, VGG-19, and Xception",0,0,deep learning,,
Validation of Ethical COVID-19 Antibody Testing that Adheres to Pro-Life Principles,0,0,medicine,,
Generation of a Multimodal Atlas of Type 2 Diabetes for Artificial Intelligence (AI-READI): Purpose and Design,1,0,,,
Ethically Sourced Modeling: A Framework for Mitigating Bias in AI Projects within the US Government,1,0,,,
Sin tÃ­tulo establecido.,1,0,,,
"Developing Multi-Disorder Voice Protocols: A team science approach involving clinical expertise, bioethics, standards, and DEI.",0,1,"voice AI;
medicine","data collection diversity, representativeness; 
data privacy and security
equity;
informed consent; 
data availability; 
transparency in data collection; ","""representative of a diverse population"";
""privacy"", ""sensitivity related to identifiability"", ""privacy, security, and potential discrimination and other harms"", ""provide privacy-preserving solutions to both data governance and computing"";
""diversity, equity, and inclusion (DEI)"";
""complex informed consent"";
""datasets remain inaccessible for lack of appropriate consent and sensitivity related to identifiability. "", ""protocol is explicit open-access"";
""transparent"";"
"Tools for Collecting, Synchronizing, and Annotating Ecologically Valid Social Behavior In-the-Wild",1,0,,,
"Jane Gray's Upcycling Ethos, Lifestyle and Practice",1,0,,,
Adima: Abuse detection in multilingual audio,0,1,"voice AI; 
language dataset","diversity (Data); 
data privacy; 
data collection (fairness); 
labor rights (data annotation, fair wages); 
accessibility; 
informed consent; ","""diverse"", ""well-balanced"";
""remove any Personally Identifiable Information (PII)"", ""anonymize"";
""profane language, cyber-bullying, racial slur, hate speech"", ""racist, sexist"", ""class imbalance-related"";
""annotators were employed on a contract basis and fairly compensated"", ""expert annotator"";
""Personally Identifiable Information (PII) from the dataset and anonymize it. The raw data is kept on secure servers with strong access restrictions to prevent any malicious usage."";
""users’ informed consent"""
Nudie Jeans: An'Impact First Brand'Contributing to Sustainable Fashion Industry.,1,0,,,
GREEN BEAUTY: THE GROWING DEMAND FOR ORGANIC COSMETICS,0,1,"Organic Cosmetics;
beauty products; chemistry","environment (emissions and pollution, biodiversity); 
transparency (supply chain); 
economy (fair trade); 
social responsibility (community development); 
labor rights;(not specific)
health/ safety (chemistry); 
animal welfare; ","""environmental and health impacts"", ""eco-conscious consumerism"", ""sustainability"", ""without synthetic chemicals"", ""biodiversity conservation, and environmental stewardship"";
""transparency ... in product development"", "" transparency ...regarding the sourcing and composition of their products"";
""fair trade"";
""communities benefit from the production proces"";
""workers are treated fairly"";
""personal health"";
""Animal welfare"", ""Cruelty Free production and testing"";"
When Human Labor Doesn't Paint a Pretty Picture: The Cheap= Poor Working Conditions Intuition,1,0,,,
The addition of a new food product in the Codex Alimentarius: The case of Bali Sardinella (Sardinella lemuru),1,0,,,
The interaction of glycogen nanoparticles with human blood,0,0,medicine,,
The Local is Global: Voices of Leaders in Coffee Justice,1,0,,,
Exploring Sustainability in Design-Seaology and Desert Haven Hotel,1,0,,,
Blockchain Technology for Cybersecurity: Risk Management in Sustainable Supply Chains,1,0,,,
NIH to Inject Healthy Bolus of Data to Sustain the Future of AI for Medical Discoveries,1,0,,,
ETHICAL SUPPLY CHAIN FOR MINERAL ORES IN DEMOCRATIC REPUBLIC OF CONGO USING BLOCKCHAIN TECHNOLOGY,1,0,,,
Open Artificial Knowledge,1,0,,,
"Multi-class heart disease Detection, Classification, and Prediction using Machine Learning Models",1,0,,,
Unveiling Sustainability in ecommerce: GPT-Powered software for identifying sustainable product features,0,1,"economy, ecommerce, sustainability, AI application; software","environment (sustainablily, pollutions and emission, energy consumption);
fair trade;
labor right (fair wage, working condition, legal employment);
social responsibility (community development);
transparency;
health/safety;
animal welfare","“recyclable, reusable, renewable,energy efficient, sustainable packaging, Biodegradable/compostable, low carbon footprint, carbon neutral, water conservation, upcycled, locally produced, minimal or no volatile organic compounds (VOCs)”;
""producers receive fair compensation, promotes sustainable livelihoods, and supports community development"", ""fair wages, safe working conditions, and the prohibition of child labor or exploitation"", ""social impact"";
""promotes transparency, accountability, and sustainable practices"";
""non-toxic""; ->food safety
""cruelty-free""; ->animal welfare
"
"Sustainable procurement practices: Balancing compliance, ethics, and cost-effectiveness",0,1,economy,"environment;
social responsibility;
transparency;
fairness (fair trade);
integrity (honestly);
accountability;
human / labor rights (fair wage, working conditions, legal employment)","""environmental sustainability"";
""social responsibility"";
""Transparency: Ensuring that procurement processes are open and transparent, enabling all parties to understand how decisions are made.""
""Fairness: Providing equal opportunities for all potential suppliers and avoiding discrimination or bias."";
""Integrity: Conducting procurement activities honestly and following ethical standards, avoiding conflicts of interest and corruption.""
""Accountability: Holding all parties responsible for their actions and decisions in the procurement process.
""paying fair wages, providing safe working conditions, and prohibiting child labor and forced labor."""
International Conference on Humane Innovations in Education-Oral Abstracts,1,0,,,
"Clean beauty'branding: A bricolage of bodily and spiritual health, ancient wisdom and ethical virtue",0,0,clean beauty products,,
Automated speech recognition of Indonesian-English language lessons on YouTube using transfer learning,0,0,automatic speech recognition (ASR) ; AI; eithically sourced data,,
Development of negative TiO2-based electrodes by soft chemistry for aqueous proton ions batteries,1,0,,,
Charting a Course toward a New Vaccine Strategy,0,1,religion; medicine,"social acceptability
religion
fair trade","""the ethical acceptance"";
""urging Catholics not to use them ""
""Fair Trade agricultural products"""
Coco Craze: Terminal year end report,1,0,,,
A novel mixed methods approach for integrating not-for-profit service data via qualitative geographic information system to explore authentic experiences of ill-health: A Case Study of Rural Mental Health,0,1,health/medicine,"consent;
diversity in teams;
data availability;
licensing;
privacy;","""how end-user consented to their data being reused in research"" (figure1)
""collaborate with external partners with expertise in ethics“;
""manages data access""
""sensitive data"", ""data sharing license or agreement""
""protect end-user anomymity""(figure 1)"
From policy to practice: Illustrating the viability of full replacement,0,1,"veterinary, education",animal welfare,"""Freedom from pain, injury and disease"""
Litigating Corporate Human Rights Information,1,0,,,
An Accessible Nephrectomy and Cystotomy Simulator for Use in Teaching Small Animal Surgery,0,0,"veterinary, education",,
Ethical Requirements for Achieving Fairness in Radiology Machine Learning: An Intersectionality and Social Embeddedness Approach,0,1,Machine Learning,"fairness;
diversity in teams
representative
privacy;
consent","""ML systems learn from human clinical judgements, which are often biased""
""diversity and competence in ML teams""
""data must be representative of the respective patient population and underlying context""
""privacy-preserving""
""ethically sourced, i.e. sourced patient data based on valid informed patient consent; """
Clean and lean makes for IPO success,1,0,,,
"Edibeans: Thinking globally, acting locally",1,0,,,
The educational efficacy of humane teaching methods: a systematic review of the evidence,0,0,animal use in education and training; life and health sciences,,
Combining science and faith for better quality and safety in halalan toyyiban products,0,1,"religion; Ingredient
evaluation; Halal
certification; food, cosmetics, and pharmaceutical industries","integrity (contamination)
labor right (fair wage);
social responsibility
environment
religion
safety/healthy","""detect non-halal contaminants and verify product integrity"";
""fair wage, ethical treatment of workers"";
""corporate social responsibility"";
""damages the environment"";
""religiously permissible""
""guarantees safety"", ""high standards of hygiene, quality, safety"""
Companion animal cadaver donation for teaching purposes at veterinary medicine colleges: A discrete choice experiment,0,0,Education; Life Sciences,,
"Grape Expectations: Newsflash: Gewurztraminer is not the best--or only--wine pairing for"" Asian"" cuisine.",1,0,,,
Rethinking the marketing mix: a Gecko Kids dilemma in the digital era,1,0,,,
"Critical Minerals, Critical Capacity and Critical Evaluation",1,0,,,
